date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-02-11,119.1667,105.2017,-13.965,13.965,31.4467,-87.72,87.72,100.6068,-18.5599,18.5599,96.2974,-22.8693,22.8693
2025-02-12,115.5762,119.1667,3.5904,3.5904,58.4304,-57.1458,57.1458,105.3661,-10.2102,10.2102,102.364,-13.2123,13.2123
2025-02-13,86.25,115.5762,29.3262,29.3262,75.7704,-10.4796,10.4796,105.4367,19.1867,19.1867,79.0288,-7.2212,7.2212
2025-02-14,63.2288,86.25,23.0213,23.0213,18.8125,-44.4162,44.4162,82.0703,18.8415,18.8415,78.9253,15.6965,15.6965
2025-02-15,50.6667,63.2288,12.5621,12.5621,26.2708,-24.3958,24.3958,66.6167,15.95,15.95,62.0985,11.4318,11.4318
2025-02-16,29.59,50.6667,21.0767,21.0767,46.6875,17.0975,17.0975,56.8924,27.3024,27.3024,54.8929,25.3029,25.3029
2025-02-17,44.9792,29.59,-15.3892,15.3892,105.2017,60.2225,60.2225,38.531,-6.4482,6.4482,39.6113,-5.3679,5.3679
2025-02-18,32.9167,44.9792,12.0625,12.0625,119.1667,86.25,86.25,53.953,21.0364,21.0364,57.8391,24.9224,24.9224
2025-02-19,44.2642,32.9167,-11.3475,11.3475,115.5762,71.3121,71.3121,39.0384,-5.2258,5.2258,44.147,-0.1172,0.1172
2025-02-20,61.1733,44.2642,-16.9092,16.9092,86.25,25.0767,25.0767,51.7584,-9.4149,9.4149,55.4208,-5.7525,5.7525
2025-02-21,57.375,61.1733,3.7983,3.7983,63.2288,5.8537,5.8537,63.4264,6.0514,6.0514,62.9895,5.6145,5.6145
2025-02-22,66.4512,57.375,-9.0763,9.0763,50.6667,-15.7846,15.7846,58.2417,-8.2095,8.2095,57.6069,-8.8443,8.8443
2025-02-23,34.7638,66.4512,31.6875,31.6875,29.59,-5.1738,5.1738,67.9942,33.2305,33.2305,61.2257,26.462,26.462
2025-02-24,31.7429,34.7638,3.0208,3.0208,44.9792,13.2362,13.2362,38.7421,6.9992,6.9992,50.1947,18.4518,18.4518
2025-02-25,42.9238,31.7429,-11.1808,11.1808,32.9167,-10.0071,10.0071,41.6444,-1.2794,1.2794,44.4421,1.5184,1.5184
2025-02-26,40.5833,42.9238,2.3404,2.3404,44.2642,3.6808,3.6808,49.0048,8.4215,8.4215,60.3917,19.8083,19.8083
