date,PM2.5
2022-01-13,75.31958333333334
2022-01-14,96.33333333333333
2022-01-15,106.41666666666667
2022-01-16,63.52791666666667
2022-01-17,41.61083333333333
2022-01-18,62.694583333333334
2022-01-19,92.01375
2022-01-20,99.54166666666667
2022-01-21,77.8475
2022-01-22,70.30541666666666
2022-01-23,99.91666666666667
2022-01-24,101.52791666666667
2022-01-25,53.263749999999995
2022-01-26,55.805416666666666
2022-01-27,51.93083333333333
2022-01-28,59.458333333333336
2022-01-29,49.166666666666664
2022-01-30,31.26375
2022-01-31,40.041666666666664
2022-02-01,39.180416666666666
2022-02-02,43.236250000000005
2022-02-03,51.444583333333334
2022-02-04,58.458333333333336
2022-02-05,60.805416666666666
2022-02-06,93.93041666666666
2022-02-07,109.01416666666667
2022-02-08,41.708333333333336
2022-02-09,39.38875
2022-02-10,55.361250000000005
2022-02-11,78.45833333333333
2022-02-12,51.541666666666664
2022-02-13,35.59708333333334
2022-02-14,54.458333333333336
2022-02-15,93.875
2022-02-16,96.91666666666667
2022-02-17,83.66666666666667
2022-02-18,54.166666666666664
2022-02-19,25.972083333333334
2022-02-20,29.916666666666668
2022-02-21,35.80583333333333
2022-02-22,26.76375
2022-02-23,35.75
2022-02-24,61.986250000000005
2022-02-25,117.44416666666666
2022-02-26,83.625
2022-02-27,124.0
2022-02-28,85.83333333333333
2022-03-01,75.625
2022-03-02,74.83333333333333
2022-03-03,63.666666666666664
2022-03-04,32.75
2022-03-05,27.541666666666668
2022-03-06,24.125
2022-03-07,43.916666666666664
2022-03-08,60.458333333333336
2022-03-09,33.25
2022-03-10,28.208333333333332
2022-03-11,24.5
2022-03-12,26.291666666666668
2022-03-13,24.125
2022-03-14,26.291666666666668
2022-03-15,59.375
2022-03-16,34.416666666666664
2022-03-17,28.583333333333332
2022-03-18,38.958333333333336
2022-03-19,29.75
2022-03-20,33.444583333333334
2022-03-21,34.5
2022-03-22,46.819583333333334
2022-03-23,33.930416666666666
2022-03-24,46.361250000000005
2022-03-25,68.1525
2022-03-26,98.34750000000001
2022-03-27,43.72208333333333
2022-03-28,43.75
2022-03-29,74.90291666666667
2022-03-30,53.958333333333336
2022-03-31,52.166666666666664
2022-04-01,30.235833333333332
2022-04-02,44.819583333333334
2022-04-03,52.25
2022-04-04,91.61125
2022-04-05,115.40249999999999
2022-04-06,165.66666666666666
2022-04-07,182.25
2022-04-08,194.55583333333334
2022-04-09,98.15249999999999
2022-04-10,106.38916666666667
2022-04-11,66.54166666666667
2022-04-12,51.7775
2022-04-13,58.875
2022-04-14,59.569583333333334
2022-04-15,57.15291666666667
2022-04-16,42.527499999999996
2022-04-17,43.861250000000005
2022-04-18,40.805416666666666
2022-04-19,67.80583333333333
2022-04-20,67.38875
2022-04-21,68.61125
2022-04-22,38.48583333333333
2022-04-23,50.208333333333336
2022-04-24,38.333333333333336
2022-04-25,49.7225
2022-04-26,50.7775
2022-04-27,44.4725
2022-04-28,29.222083333333334
2022-04-29,36.875
2022-04-30,40.125
2022-05-01,24.51375
2022-05-02,48.083333333333336
2022-05-03,75.69458333333334
2022-05-04,124.375
2022-05-05,139.73625
2022-05-06,129.55541666666667
2022-05-07,80.22208333333333
2022-05-08,76.38916666666667
2022-05-09,80.36083333333333
2022-05-10,41.444583333333334
2022-05-11,39.416666666666664
2022-05-12,27.833333333333332
2022-05-13,30.416666666666668
2022-05-14,34.708333333333336
2022-05-15,24.75
2022-05-16,17.208333333333332
2022-05-17,37.75
2022-05-18,31.0
2022-05-19,38.59708333333334
2022-05-20,40.36125
2022-05-21,43.458333333333336
2022-05-22,37.333333333333336
2022-05-23,16.333333333333332
2022-05-24,18.458333333333332
2022-05-25,43.333333333333336
2022-05-26,38.291666666666664
2022-05-27,30.916666666666668
2022-05-28,29.416666666666668
2022-05-29,29.5
2022-05-30,32.333333333333336
2022-05-31,25.833333333333332
2022-06-01,24.5
2022-06-02,26.333333333333332
2022-06-03,22.916666666666668
2022-06-04,29.583333333333332
2022-06-05,43.625
2022-06-06,26.166666666666668
2022-06-07,22.708333333333332
2022-06-08,34.0
2022-06-09,48.833333333333336
2022-06-10,46.680416666666666
2022-06-11,69.45833333333333
2022-06-12,40.375
2022-06-13,33.0
2022-06-14,18.791666666666668
2022-06-15,21.916666666666668
2022-06-16,23.0
2022-06-17,21.083333333333332
2022-06-18,24.583333333333332
2022-06-19,34.208333333333336
2022-06-20,35.833333333333336
2022-06-21,41.666666666666664
2022-06-22,33.791666666666664
2022-06-23,35.333333333333336
2022-06-24,31.666666666666668
2022-06-25,25.875
2022-06-26,29.333333333333332
2022-06-27,21.416666666666668
2022-06-28,36.958333333333336
2022-06-29,48.583333333333336
2022-06-30,38.166666666666664
2022-07-01,30.863636363636363
2022-07-02,22.208333333333332
2022-07-03,23.333333333333332
2022-07-04,41.166666666666664
