date,PM2.5,AQI,CO,NO2,O3,PM10,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2022-01-13,75.31958333333334,176.5,347.925,11.475,86.57083333333333,105.70833333333333,46.041666666666664,93.58333333333333,0.041666666666666664,1019.7083333333334,85.08333333333333,16.129166666666666,0.5708333333333333,2.1795833333333334
2022-01-14,96.33333333333333,203.79166666666666,430.4875,19.845833333333335,58.291666666666664,135.55416666666667,50.85,84.25,0.0,1017.3333333333334,84.45833333333333,16.883333333333333,0.6291666666666667,1.47
2022-01-15,106.41666666666667,176.75,464.79583333333335,26.75,48.57083333333333,150.09583333333333,48.17916666666667,88.91666666666667,0.0,1015.9166666666666,87.41666666666667,18.379166666666666,0.5791666666666667,1.735
2022-01-16,63.52791666666667,153.58333333333334,299.47083333333336,15.916666666666666,62.291666666666664,89.72500000000001,33.59583333333333,88.91666666666667,0.0,1016.375,86.41666666666667,19.9375,1.0666666666666667,2.359166666666667
2022-01-17,41.61083333333333,117.04166666666667,333.9125,11.779166666666667,52.84583333333333,58.625,32.641666666666666,76.29166666666667,0.4479166666666667,1020.25,85.0,15.004166666666668,0.5833333333333334,2.9004166666666666
2022-01-18,62.694583333333334,129.91666666666666,342.25,17.583333333333332,73.54166666666667,88.19166666666666,40.09583333333333,65.54166666666667,0.0,1020.625,68.45833333333333,17.858333333333334,1.2874999999999999,1.99875
2022-01-19,92.01375,184.54166666666666,415.0291666666667,25.429166666666664,70.04166666666667,129.58333333333334,49.916666666666664,65.16666666666667,0.14583333333333334,1018.0416666666666,69.20833333333333,17.95,1.2583333333333333,1.9425
2022-01-20,99.54166666666667,157.875,472.60833333333335,25.208333333333332,69.45833333333333,140.55833333333334,48.862500000000004,96.58333333333333,0.90625,1015.75,84.83333333333333,16.6875,0.7208333333333333,1.7750000000000001
2022-01-21,77.8475,178.04166666666666,379.2416666666666,18.6125,78.82083333333334,109.44166666666666,45.041666666666664,84.0,0.9166666666666666,1014.125,92.83333333333333,16.787499999999998,0.5833333333333334,1.6129166666666668
2022-01-22,70.30541666666666,168.54166666666666,245.8083333333333,16.095833333333335,66.14999999999999,99.14166666666667,36.44166666666667,95.04166666666667,0.03125,1010.0,89.91666666666667,18.8625,0.6541666666666667,1.8570833333333334
