date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-01-01,138.7917,,,,,,,90.5865,-48.2052,48.2052,87.227,-51.5646,51.5646
2025-01-02,143.625,138.7917,-4.8333,4.8333,,,,130.3383,-13.2867,13.2867,97.9356,-45.6894,45.6894
2025-01-03,129.8613,143.625,13.7637,13.7637,,,,126.8974,-2.9639,2.9639,100.8412,-29.0201,29.0201
2025-01-04,117.3471,129.8613,12.5142,12.5142,,,,118.8947,1.5476,1.5476,110.3329,-7.0142,7.0142
2025-01-05,104.5138,117.3471,12.8333,12.8333,,,,111.3533,6.8395,6.8395,100.586,-3.9278,3.9278
2025-01-06,114.8888,104.5138,-10.375,10.375,,,,101.1437,-13.7451,13.7451,94.5623,-20.3265,20.3265
2025-01-07,137.1254,114.8888,-22.2367,22.2367,,,,111.5158,-25.6096,25.6096,94.4848,-42.6407,42.6407
2025-01-08,74.6529,137.1254,62.4725,62.4725,138.7917,64.1387,64.1387,128.0029,53.35,53.35,92.3944,17.7415,17.7415
2025-01-09,116.0417,74.6529,-41.3888,41.3888,143.625,27.5833,27.5833,70.2777,-45.764,45.764,67.3043,-48.7374,48.7374
2025-01-10,48.5488,116.0417,67.4929,67.4929,129.8613,81.3125,81.3125,120.4184,71.8696,71.8696,90.2449,41.6962,41.6962
2025-01-11,60.1321,48.5488,-11.5833,11.5833,117.3471,57.215,57.215,48.4877,-11.6444,11.6444,65.4794,5.3473,5.3473
2025-01-12,79.1596,60.1321,-19.0275,19.0275,104.5138,25.3542,25.3542,73.1073,-6.0522,6.0522,78.0907,-1.0689,1.0689
2025-01-13,111.875,79.1596,-32.7154,32.7154,114.8888,3.0138,3.0138,80.9898,-30.8852,30.8852,91.1191,-20.7559,20.7559
2025-01-14,105.2917,111.875,6.5833,6.5833,137.1254,31.8337,31.8337,107.2872,1.9956,1.9956,98.5541,-6.7375,6.7375
2025-01-15,130.2983,105.2917,-25.0067,25.0067,74.6529,-55.6454,55.6454,98.2799,-32.0184,32.0184,99.5413,-30.757,30.757
2025-01-16,98.1596,130.2983,32.1387,32.1387,116.0417,17.8821,17.8821,124.0784,25.9188,25.9188,106.0759,7.9163,7.9163
2025-01-17,97.4654,98.1596,0.6942,0.6942,48.5488,-48.9167,48.9167,92.1952,-5.2702,5.2702,97.4264,-0.0391,0.0391
2025-01-18,122.1946,97.4654,-24.7292,24.7292,60.1321,-62.0625,62.0625,98.9642,-23.2304,23.2304,102.0005,-20.1941,20.1941
2025-01-19,124.6738,122.1946,-2.4792,2.4792,79.1596,-45.5142,45.5142,117.4943,-7.1794,7.1794,101.3168,-23.3569,23.3569
2025-01-20,160.285,124.6738,-35.6112,35.6112,111.875,-48.41,48.41,115.9026,-44.3824,44.3824,101.8867,-58.3983,58.3983
2025-01-21,115.8192,160.285,44.4658,44.4658,105.2917,-10.5275,10.5275,148.7276,32.9084,32.9084,130.5388,14.7197,14.7197
2025-01-22,75.5021,115.8192,40.3171,40.3171,130.2983,54.7962,54.7962,105.7159,30.2138,30.2138,107.409,31.907,31.907
2025-01-23,47.6875,75.5021,27.8146,27.8146,98.1596,50.4721,50.4721,81.3042,33.6167,33.6167,72.8924,25.2049,25.2049
2025-01-24,52.1462,47.6875,-4.4588,4.4588,97.4654,45.3192,45.3192,59.4077,7.2615,7.2615,59.2642,7.1179,7.1179
2025-01-25,45.4304,52.1462,6.7158,6.7158,122.1946,76.7642,76.7642,63.7667,18.3363,18.3363,53.5038,8.0734,8.0734
2025-01-26,23.0208,45.4304,22.4096,22.4096,124.6738,101.6529,101.6529,54.4442,31.4234,31.4234,49.5541,26.5332,26.5332
2025-01-27,48.6317,23.0208,-25.6108,25.6108,160.285,111.6533,111.6533,35.9691,-12.6626,12.6626,45.9036,-2.7281,2.7281
2025-01-28,59.1042,48.6317,-10.4725,10.4725,115.8192,56.715,56.715,60.5972,1.4931,1.4931,62.8028,3.6987,3.6987
2025-01-29,109.8821,59.1042,-50.7779,50.7779,75.5021,-34.38,34.38,63.3179,-46.5642,46.5642,68.6678,-41.2142,41.2142
2025-01-30,70.3679,109.8821,39.5142,39.5142,47.6875,-22.6804,22.6804,107.6867,37.3188,37.3188,94.4742,24.1063,24.1063
2025-01-31,39.6596,70.3679,30.7083,30.7083,52.1462,12.4867,12.4867,66.8121,27.1526,27.1526,71.6153,31.9557,31.9557
2025-02-01,33.465,39.6596,6.1946,6.1946,45.4304,11.9654,11.9654,50.6847,17.2197,17.2197,54.1445,20.6795,20.6795
2025-02-02,31.4162,33.465,2.0487,2.0487,23.0208,-8.3954,8.3954,46.3328,14.9165,14.9165,42.1342,10.718,10.718
2025-02-03,22.6321,31.4162,8.7842,8.7842,48.6317,25.9996,25.9996,42.4649,19.8328,19.8328,41.512,18.88,18.88
2025-02-04,31.4467,22.6321,-8.8146,8.8146,59.1042,27.6575,27.6575,34.2077,2.7611,2.7611,42.6754,11.2287,11.2287
2025-02-05,58.4304,31.4467,-26.9837,26.9837,109.8821,51.4517,51.4517,42.5726,-15.8578,15.8578,47.5488,-10.8816,10.8816
2025-02-06,75.7704,58.4304,-17.34,17.34,70.3679,-5.4025,5.4025,63.4318,-12.3386,12.3386,64.0099,-11.7605,11.7605
2025-02-07,18.8125,75.7704,56.9579,56.9579,39.6596,20.8471,20.8471,74.811,55.9985,55.9985,66.028,47.2155,47.2155
2025-02-08,26.2708,18.8125,-7.4583,7.4583,33.465,7.1942,7.1942,25.1866,-1.0843,1.0843,40.6023,14.3315,14.3315
2025-02-09,46.6875,26.2708,-20.4167,20.4167,31.4162,-15.2712,15.2712,41.8079,-4.8796,4.8796,46.8258,0.1383,0.1383
2025-02-10,105.2017,46.6875,-58.5142,58.5142,22.6321,-82.5696,82.5696,52.7415,-52.4602,52.4602,68.9147,-36.2869,36.2869
2025-02-11,119.1667,105.2017,-13.965,13.965,31.4467,-87.72,87.72,100.6068,-18.5599,18.5599,95.4106,-23.7561,23.7561
2025-02-12,115.5762,119.1667,3.5904,3.5904,58.4304,-57.1458,57.1458,105.3661,-10.2102,10.2102,102.5794,-12.9968,12.9968
2025-02-13,86.25,115.5762,29.3262,29.3262,75.7704,-10.4796,10.4796,105.4367,19.1867,19.1867,78.602,-7.648,7.648
2025-02-14,63.2288,86.25,23.0213,23.0213,18.8125,-44.4162,44.4162,82.0703,18.8415,18.8415,78.7741,15.5453,15.5453
2025-02-15,50.6667,63.2288,12.5621,12.5621,26.2708,-24.3958,24.3958,66.6167,15.95,15.95,61.425,10.7584,10.7584
2025-02-16,29.59,50.6667,21.0767,21.0767,46.6875,17.0975,17.0975,56.8924,27.3024,27.3024,55.0318,25.4418,25.4418
2025-02-17,44.9792,29.59,-15.3892,15.3892,105.2017,60.2225,60.2225,38.531,-6.4482,6.4482,39.7629,-5.2163,5.2163
2025-02-18,32.9167,44.9792,12.0625,12.0625,119.1667,86.25,86.25,53.953,21.0364,21.0364,57.7264,24.8097,24.8097
2025-02-19,44.2642,32.9167,-11.3475,11.3475,115.5762,71.3121,71.3121,39.0384,-5.2258,5.2258,44.1052,-0.159,0.159
2025-02-20,61.1733,44.2642,-16.9092,16.9092,86.25,25.0767,25.0767,51.7584,-9.4149,9.4149,55.0024,-6.171,6.171
2025-02-21,57.375,61.1733,3.7983,3.7983,63.2288,5.8537,5.8537,63.4264,6.0514,6.0514,62.1299,4.7549,4.7549
2025-02-22,66.4512,57.375,-9.0763,9.0763,50.6667,-15.7846,15.7846,58.2417,-8.2095,8.2095,57.0475,-9.4037,9.4037
2025-02-23,34.7638,66.4512,31.6875,31.6875,29.59,-5.1738,5.1738,67.9942,33.2305,33.2305,60.5662,25.8024,25.8024
2025-02-24,31.7429,34.7638,3.0208,3.0208,44.9792,13.2362,13.2362,38.7421,6.9992,6.9992,49.5943,17.8514,17.8514
2025-02-25,42.9238,31.7429,-11.1808,11.1808,32.9167,-10.0071,10.0071,41.6444,-1.2794,1.2794,44.3891,1.4653,1.4653
2025-02-26,40.5833,42.9238,2.3404,2.3404,44.2642,3.6808,3.6808,49.0048,8.4215,8.4215,59.575,18.9917,18.9917
2025-02-27,84.5625,40.5833,-43.9792,43.9792,61.1733,-23.3892,23.3892,44.7378,-39.8247,39.8247,57.2031,-27.3594,27.3594
2025-02-28,59.7567,84.5625,24.8058,24.8058,57.375,-2.3817,2.3817,83.9452,24.1885,24.1885,77.0439,17.2873,17.2873
2025-03-01,50.4167,59.7567,9.34,9.34,66.4512,16.0346,16.0346,55.4758,5.0592,5.0592,59.7653,9.3486,9.3486
2025-03-02,35.875,50.4167,14.5417,14.5417,34.7638,-1.1112,1.1112,54.7087,18.8337,18.8337,53.7809,17.9059,17.9059
2025-03-03,40.2083,35.875,-4.3333,4.3333,31.7429,-8.4654,8.4654,41.5126,1.3043,1.3043,44.3399,4.1316,4.1316
2025-03-04,45.125,40.2083,-4.9167,4.9167,42.9238,-2.2012,2.2012,46.5898,1.4648,1.4648,47.7264,2.6014,2.6014
2025-03-05,48.2154,45.125,-3.0904,3.0904,40.5833,-7.6321,7.6321,48.8451,0.6297,0.6297,48.6273,0.4119,0.4119
2025-03-06,39.8542,48.2154,8.3613,8.3613,84.5625,44.7083,44.7083,50.9347,11.0806,11.0806,50.4612,10.607,10.607
2025-03-07,36.0696,39.8542,3.7846,3.7846,59.7567,23.6871,23.6871,43.4774,7.4078,7.4078,55.3621,19.2925,19.2925
2025-03-08,69.8679,36.0696,-33.7983,33.7983,50.4167,-19.4512,19.4512,41.574,-28.2939,28.2939,61.0327,-8.8352,8.8352
