month,MAE,RMSE,mean_actual,n
1,24.2164,29.9934,93.6188,31
2,17.0618,21.9653,54.1466,28
3,14.1741,19.4071,60.7296,31
4,14.4455,18.9091,70.4819,30
5,10.4677,15.0832,46.2861,31
6,13.9107,19.0354,41.5134,30
