,importance
pm25_lag_1,0.13293429171837265
PM10_lag_1,0.10971453639800484
AQI_lag_1,0.08761629646133848
pm25_roll_mean_3,0.06764178141428683
pm25_diff_7,0.04986960357455714
Pressure_roll_mean_7,0.043809513564157763
pm25_lag_2,0.037195555449994526
pm25_roll_mean_7,0.03230680784313832
Relative Humidity_roll_mean_7,0.029621385783216502
PM10_roll_mean_7,0.026494923488156207
Pressure_lag_1,0.025727605960875283
pm25_roll_std_14,0.02439526505835359
Relative Humidity_lag_1,0.02133519830682104
AQI_roll_mean_7,0.020190305639973396
pm25_diff_1,0.019991743337244305
NO2_lag_1,0.018027622501996604
pm25_lag_3,0.016108774943058065
Temperature_roll_mean_7,0.014274912040433966
pm25_roll_std_7,0.013425938455398648
NO2_roll_mean_7,0.012457783227972273
pm25_roll_mean_14,0.011428691494260084
Clouds_lag_1,0.01120093707162172
Temperature_lag_1,0.010741295210662123
UV Index_lag_1,0.009304178641745342
pm25_roll_mean_30,0.008607032130324275
pm25_roll_std_30,0.008486092684424892
O3_lag_1,0.008399553200206267
O3_roll_mean_7,0.008263555706597613
CO_lag_1,0.00789387930512829
pm25_lag_14,0.007791767019632647
month,0.007565682213093177
Wind Speed_lag_1,0.007481902139125195
CO_roll_mean_7,0.007153807306230508
pm25_roll_std_3,0.006813587847209055
pm25_lag_7,0.0067042963180353075
pm25_lag_30,0.006399475317073157
Wind Speed_roll_mean_7,0.006327760342062212
SO2_lag_1,0.006026923877295771
Clouds_roll_mean_7,0.005883174644585126
month_cos,0.0057145262295896756
UV Index_roll_mean_7,0.005585867134576869
pm25_lag_21,0.005276796665500383
SO2_roll_mean_7,0.004815373536763279
Precipitation_roll_mean_7,0.003982601064673778
month_sin,0.0032215532937733566
dow_sin,0.0031781336666227627
Precipitation_lag_1,0.0025563980782341874
day_of_week,0.002427502272207249
quarter,0.0022474257951877754
season,0.0019069522461522533
dow_cos,0.0015270069932449303
year,0.0010858991562299263
is_weekend,0.0008605262305804027
