,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,1.5690176486968994,0.07271992788316624,0.4958836555480957,0.07032252328448495,300,2,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15}",-16.425280063762834,-12.91602286358288,-34.567503936724265,-20.453690069270465,-18.47495385364159,-20.56749015739641,7.430947458730377,1
19,1.204913568496704,0.043712855457905216,0.20736021995544435,0.04592268241474873,200,1,sqrt,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",-16.420488796054627,-13.197173910482995,-33.74708019662566,-22.251168487487504,-18.47261360734446,-20.817704999599048,7.101141015576592,2
18,1.0476961612701416,0.19023240437910244,0.3800665378570557,0.180853213412105,200,2,0.7,,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",-16.837160083426202,-13.136086501838347,-34.2361000806384,-21.5298544137686,-18.89000489446935,-20.925841194828184,7.198194835172162,3
4,0.8239972114562988,0.26805656748795986,0.35257902145385744,0.1366523367470925,100,4,0.7,10,"{'n_estimators': 100, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 10}",-16.624525485478237,-12.91196885542156,-34.48550413975962,-21.876101788332974,-19.07178417182258,-20.993976888162997,7.360777624144711,4
9,1.4521759510040284,0.07093161224099402,0.6773550510406494,0.018653546632318444,300,2,0.7,5,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5}",-17.03602730588779,-12.928968682398471,-34.39364696169867,-21.599075056100173,-19.016659226985766,-20.994875446614174,7.2737446370284005,5
2,0.6727521419525146,0.13391802473020836,1.5885658264160156,2.4440571520576464,300,4,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15}",-16.516192702724815,-12.860313670404272,-36.08151228954895,-20.97609982185459,-18.556024302120793,-20.99802855733068,7.997307088770948,6
12,1.4778043746948242,0.10066712991373197,0.7401031017303467,0.08831388094218179,300,4,0.7,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 15}",-16.668068072775466,-12.945183574684254,-35.05665234028919,-21.86646794888808,-18.562000843760742,-21.019674556079543,7.5885156392392075,7
5,0.4807899951934814,0.0489343975246526,0.23831577301025392,0.030195859900568094,100,1,0.7,5,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 5}",-17.073230681826278,-13.018605711209128,-34.31077451908406,-21.77805364496566,-19.13488160530045,-21.063109232477114,7.216134846214604,8
14,0.9367242336273194,0.18551755982950513,0.47205114364624023,0.22526721985178347,100,2,1.0,15,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 15}",-17.350644438408338,-13.148434675406484,-34.10184647053964,-21.849110278661982,-18.87786296326668,-21.065579765256622,7.096847262535956,9
10,2.142534351348877,0.23878977055911343,0.6166178226470947,0.1280973290391332,500,1,0.7,10,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 10}",-17.120766100081116,-13.236382443155966,-33.891353913054736,-22.319100487479048,-18.796285726624795,-21.072777734079132,7.043850064172364,10
8,1.3420055866241456,0.30796209334760033,0.7125658988952637,0.057626707081253524,300,2,1.0,10,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.369777794839568,-13.147850887951016,-34.48745086274701,-21.685154343779008,-18.710873390550645,-21.08022145597345,7.244631797553309,11
15,0.952155590057373,0.0724859760992072,0.24786524772644042,0.15623833464571485,100,2,1.0,10,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.369001831531982,-13.028564474805178,-34.02970062452858,-22.061218076885023,-18.933205283949206,-21.084338058339995,7.0973697953703505,12
