date,actual,predicted,absolute_error,percentage_error
2025-01-20,160.285,101.88665242521444,58.39834757478556,36.43
2025-06-20,93.625,37.98360380357435,55.64139619642565,59.43
2025-01-01,138.79166666666666,87.2270439386023,51.56462272806435,37.15
2025-04-29,94.02791666666667,43.525800097318715,50.502116569347955,53.71
2025-01-09,116.04166666666667,67.30431371031752,48.737352956349156,42.0
2025-03-20,110.45791666666666,62.805968175154305,47.65194849151236,43.14
2025-02-07,18.8125,66.0280298930626,47.215529893062595,250.98
2025-01-02,143.625,97.9356259566799,45.6893740433201,31.81
2025-01-07,137.12541666666667,94.48476341005295,42.64065325661372,31.1
2025-01-10,48.548750000000005,90.24492107208991,41.6961710720899,85.89
