month,MAE,RMSE,mean_actual,n
1,22.3112,27.769,93.6188,31
2,15.7626,19.0335,54.1466,28
3,14.1159,17.9808,60.7296,31
4,13.5504,17.6857,70.4819,30
5,9.0309,13.1392,46.2861,31
6,11.5897,16.3616,41.5134,30
