,p,d,q,aic
29,3,1,1,9376.376779054095
31,3,1,3,9377.023944914901
15,1,1,3,9377.749726952068
30,3,1,2,9378.369456910888
22,2,1,2,9380.893957475382
14,1,1,2,9382.171819854786
23,2,1,3,9385.757812343683
21,2,1,1,9386.050850224248
26,3,0,2,9386.575389037456
18,2,0,2,9387.201657449292
11,1,0,3,9387.306423765509
24,3,0,0,9387.760490977918
19,2,0,3,9388.033956070503
25,3,0,1,9388.704719213496
10,1,0,2,9388.809308403197
27,3,0,3,9390.019080151054
13,1,1,1,9395.554549776469
17,2,0,1,9401.874705594582
9,1,0,1,9406.355115688599
16,2,0,0,9408.301384945995
8,1,0,0,9410.2207950996
7,0,1,3,9411.960106544842
6,0,1,2,9428.803408885095
28,3,1,0,9437.34656782727
20,2,1,0,9443.779644679196
5,0,1,1,9494.793312282356
4,0,1,0,9494.905416435853
12,1,1,0,9495.740606247999
3,0,0,3,9548.523984312735
2,0,0,2,9629.421814859852
1,0,0,1,9884.601329255374
0,0,0,0,10646.950516492463
