,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,3.1494309425354006,0.14092689066721684,1.8074867725372314,0.22513678875332552,300,2,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15}",-16.42998536103278,-12.923999183927679,-34.52042782283396,-20.372563780960267,-18.47839766876891,-20.54507476350472,7.411155930971492,1
19,2.9731161117553713,0.2871137653534378,0.792630958557129,0.29582864555689614,200,1,sqrt,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",-16.419094539630166,-13.175173654624748,-33.80569566983828,-21.874968469695737,-18.52052635729998,-20.759091738217784,7.110859570761763,2
18,3.0492088317871096,0.6088741853887479,0.9076120376586914,0.5342428427363812,200,2,0.7,,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",-16.807513496593558,-13.111395636538482,-34.045951875181366,-21.423561074782544,-18.81138604258131,-20.83996162513545,7.13926124813415,3
10,6.40832929611206,1.5086263498885375,1.5038158416748046,0.5010953693985534,500,1,0.7,10,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 10}",-17.17707181372733,-13.229688906412859,-33.4480413376864,-22.125420856887214,-18.831772115178705,-20.962399005978504,6.868871270378375,4
9,3.8201504230499266,0.2696365590165322,1.1453385829925538,0.04744425394871224,300,2,0.7,5,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5}",-17.019952810686597,-12.92844663652046,-34.38030668591793,-21.5758752746663,-19.010230028782477,-20.982962287314756,7.2706632680924335,5
2,1.6967052459716796,0.27414584258793506,0.6867605209350586,0.052441990438341995,300,4,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15}",-16.520418048860513,-12.85960270582498,-36.00624169986776,-20.996005312809142,-18.59062211777412,-20.9945779770273,7.966492117162435,6
4,1.0762943267822265,0.3622610742011764,0.6943058490753173,0.25203679122340816,100,4,0.7,10,"{'n_estimators': 100, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 10}",-16.611325401896725,-12.911443076172032,-34.48907178876625,-21.898941586190066,-19.066547150468086,-20.995465800698632,7.364597866312326,7
12,4.418018198013305,1.111118990027422,1.6311830043792725,0.4186708296780855,300,4,0.7,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 15}",-16.663942813060935,-12.940110770265907,-35.06108864380367,-21.855747488374455,-18.568060046153462,-21.01778995233169,7.591079942456786,8
5,0.9027117729187012,0.3642106638765745,0.595802116394043,0.07997098482601471,100,1,0.7,5,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 5}",-17.04022855433377,-13.016267745925278,-34.293569559523334,-21.781138512687352,-19.123700846173094,-21.050981043728562,7.214657896215299,9
14,3.37495436668396,0.621696584158424,1.202460527420044,0.49471080123207706,100,2,1.0,15,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 15}",-17.356864130494262,-13.175986920978442,-34.11011973330236,-21.93094862018298,-18.86807725650554,-21.088399332292717,7.095569698816358,10
8,4.558125972747803,1.0651623294079686,1.3843468189239503,0.2833242676274503,300,2,1.0,10,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.37211186438648,-13.152997352354019,-34.54635427236903,-21.683792757939614,-18.707063317639502,-21.092463912937728,7.265302749897836,11
3,3.0390028953552246,1.0387161558135896,1.3069230556488036,0.1862893819488797,200,1,1.0,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 15}",-17.525987084562473,-13.208784015541452,-34.062092451894294,-22.088670168262986,-18.72599765118389,-21.12230627428902,7.0664215380767885,12
1,1.8906291484832765,0.4458906519180814,0.851096248626709,0.09898525317602831,500,2,0.7,5,"{'n_estimators': 500, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5}",-16.94660284316312,-12.896247428942411,-34.8108528281805,-21.924347388236452,-19.044013459510797,-21.12441278960666,7.449072409572389,13
