date,actual,predicted,absolute_error,percentage_error
2025-01-20,160.285,101.89532416297902,58.389675837020974,36.43
2025-06-20,93.625,37.82931159953997,55.79568840046003,59.59
2025-01-01,138.79166666666666,87.38332468926369,51.40834197740297,37.04
2025-04-29,94.02791666666667,43.3132648856785,50.71465178098817,53.94
2025-01-09,116.04166666666667,67.39911837466938,48.64254829199729,41.92
2025-03-20,110.45791666666666,62.2704017928792,48.187514873787464,43.63
2025-02-07,18.8125,66.42055643406789,47.60805643406789,253.07
2025-01-02,143.625,98.97915794014553,44.64584205985447,31.09
2025-01-10,48.548750000000005,91.52572667261902,42.97697667261901,88.52
2025-01-07,137.12541666666667,95.39546278505291,41.72995388161375,30.43
