date,actual,predicted,absolute_error,percentage_error
2025-01-10,48.548750000000005,120.41839670085454,71.86964670085453,148.04
2025-03-20,110.45791666666666,48.882669961893654,61.57524670477301,55.75
2025-06-21,30.01375,86.90286078515669,56.88911078515669,189.54
2025-02-07,18.8125,74.81097375157091,55.99847375157091,297.67
2025-01-08,74.65291666666667,128.00293389007078,53.35001722340411,71.46
2025-02-10,105.20166666666667,52.74146791707514,52.46019874959153,49.87
2025-01-01,138.79166666666666,90.58647166360343,48.205195003063224,34.73
2025-04-29,94.02791666666667,46.37612161254838,47.65179505411829,50.68
2025-01-29,109.88208333333334,63.317866719906206,46.564216613427135,42.38
2025-06-20,93.625,47.533507727892,46.091492272108,49.23
