,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,1.4259382247924806,0.3992904649852109,0.5564124584197998,0.20501146536522785,300,2,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15}",-16.425280063762838,-12.916022863582883,-34.56750393672427,-20.453690069270465,-18.47495385364159,-20.56749015739641,7.430947458730378,1
19,1.021967601776123,0.1997651213327011,0.3455670356750488,0.1578846671486874,200,1,sqrt,15,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",-16.420488796054627,-13.197173910482993,-33.74708019662566,-22.251168487487508,-18.47261360734446,-20.81770499959905,7.101141015576593,2
18,0.7894125938415527,0.2906070427522111,0.5142863273620606,0.24003714744183607,200,2,0.7,,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",-16.8371600834262,-13.13608650183835,-34.236100080638394,-21.529854413768604,-18.89000489446935,-20.925841194828177,7.198194835172159,3
4,0.6259721279144287,0.19483682851625897,0.6074169635772705,0.147359463960841,100,4,0.7,10,"{'n_estimators': 100, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 10}",-16.624525485478237,-12.91196885542156,-34.48550413975963,-21.876101788332978,-19.07178417182258,-20.993976888162997,7.360777624144713,4
9,1.2816079616546632,0.35327787296401053,0.746659803390503,0.16611677106395206,300,2,0.7,5,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5}",-17.03602730588779,-12.92896868239847,-34.39364696169867,-21.599075056100173,-19.016659226985766,-20.994875446614174,7.2737446370284005,5
2,1.0024754524230957,0.2696768806601504,0.5796691417694092,0.031174821448499614,300,4,sqrt,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15}",-16.516192702724815,-12.860313670404272,-36.08151228954895,-20.976099821854586,-18.556024302120793,-20.99802855733068,7.997307088770948,6
12,1.357175922393799,0.14651043739316846,0.9133766651153564,0.12871255095819775,300,4,0.7,15,"{'n_estimators': 300, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 15}",-16.668068072775462,-12.945183574684256,-35.0566523402892,-21.86646794888808,-18.562000843760742,-21.019674556079543,7.58851563923921,7
5,0.6005732536315918,0.02044241857997016,0.34507246017456056,0.006579521097961884,100,1,0.7,5,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 5}",-17.073230681826278,-13.018605711209128,-34.31077451908406,-21.77805364496566,-19.134881605300446,-21.063109232477114,7.216134846214604,8
14,1.2913733005523682,0.23229066276837404,0.3145739555358887,0.2858594572916162,100,2,1.0,15,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 15}",-17.350644438408338,-13.14843467540649,-34.10184647053963,-21.84911027866198,-18.87786296326668,-21.065579765256622,7.09684726253595,9
10,2.3514599323272707,0.3334794783537494,0.7982253551483154,0.21239099447917612,500,1,0.7,10,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 10}",-17.12076610008112,-13.236382443155964,-33.891353913054736,-22.319100487479055,-18.79628572662479,-21.072777734079132,7.043850064172364,10
8,1.3574604034423827,0.2117825976031831,0.8695345878601074,0.13951661380304484,300,2,1.0,10,"{'n_estimators': 300, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.369777794839568,-13.147850887951016,-34.487450862747004,-21.685154343779008,-18.710873390550645,-21.080221455973447,7.244631797553306,11
15,1.2727777481079101,0.07625277124302711,0.1715545654296875,0.09128390132145836,100,2,1.0,10,"{'n_estimators': 100, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.369001831531982,-13.028564474805181,-34.02970062452858,-22.061218076885023,-18.933205283949206,-21.084338058339995,7.09736979537035,12
7,0.8812641620635986,0.22630140498394832,0.7135122776031494,0.3652571377654582,200,2,1.0,10,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 10}",-17.349989541998212,-13.044372465003066,-34.51850062035593,-21.85562513975628,-18.80333245351087,-21.114364044124876,7.278138386405222,13
1,1.0893829345703125,0.22799855799458688,0.7206547260284424,0.1742425254091511,500,2,0.7,5,"{'n_estimators': 500, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 5}",-16.951268909594717,-12.897160479114135,-34.820494573819936,-21.88751232332604,-19.04659433908507,-21.12060612498798,7.450973689684558,14
0,0.49196157455444334,0.02708659926065723,0.6193609237670898,0.04797886625231445,200,4,sqrt,,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",-16.544253527148815,-12.877183158720825,-35.89152517209143,-21.915965558912127,-18.512023376214724,-21.148190158617588,7.931085310200447,15
